well_id,item,value,unit,top_md_m,bottom_md_m,data_type,source_description,confidence,notes
ht1_004,liner_outer_diameter,139.7,mm,7376.656,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 六.6.1/作业史,high,下段139.7mm（壁厚15.88mm，TP-G2扣，长度283.344m）
ht1_004,borehole_nominal_diameter,241.3,mm,5578,7521,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.2.1,high,四开上段钻头241.3mm*7521m
ht1_004,borehole_nominal_diameter,215.9,mm,7521,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.2.1,high,四开下段钻头215.9mm*7660m
ht1_004,drill_bit_size,241.3,mm,5578,7521,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.2.1/施工记录表,high,钻头程序Φ241.3mm*7521m
ht1_004,drill_bit_size,215.9,mm,7521,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.2.1/施工记录表,high,钻头程序Φ215.9mm*7660m
ht1_004,float_collar_md,7647.882,m,,,field_measured,HT1-004井油层尾管固井作业史.doc 八/九,high,浮箍1(强制式)下深7647.61-7647.88m；扣型TP-G2，耐温200℃
ht1_004,float_collar_md,7636.202,m,,,field_measured,HT1-004井油层尾管固井作业史.doc 八/九,high,弹浮式浮箍2下深7635.93-7636.20m；扣型TP-G2，耐温200℃
ht1_004,float_shoe_md,7660,m,,,field_measured,HT1-004井油层尾管固井作业史.doc 八,high,加长引鞋下深7659.04-7660.00m；TP-G2扣，耐温200℃
ht1_004,ball_seat_md,7560.286,m,,,field_measured,HT1-004井油层尾管固井作业史.doc 八/九,high,球座/锁紧座有效下深7560.286m（本体7560.29-7560.62m，井斜6.9°）；阻流板位置7560.286m
ht1_004,cement_return_md,5243.207,m,,,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 前言/四.4.2,high,水泥浆预返5243.207m（重叠334.793m）；CBL图头未见实测水泥面文字
ht1_004,artificial_bottom_md,7560.29,m,,,field_measured,HT1-004_固井质量测井评价图 图头(数字化),high,人工井底7560.290m；作业史阻流板/锁紧座7560.286m
ht1_004,overlap_length,334.793,m,,,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 前言,high,悬挂器顶部5243.207-技套鞋5578m重叠段334.793m
ht1_004,float_shoe_to_seat,99.71,m,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 四.4.2/作业史 九,high,下塞/下部结构长度99.71m（作业史下部结构长度99.714m）
ht1_004,avg_caliper_upper,244,mm,5578,7521,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.3,high,平均井径5578-7521m 244mm，扩大率1.1%
ht1_004,avg_caliper_lower,222,mm,7521,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.3,high,平均井径7521-7660m 222mm，扩大率2.8%
ht1_004,sim_cement_fill_rate,99.3,%,5241,7660,interpreted,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 八.2.2 备注,medium,斯伦贝谢软件单级固井模拟：5241-7660m水泥充填率99.3%；附加井段5241-4941m水泥含量55%；尾浆混窜至6200m
ht1_004,max_caliper,309,mm,5579,5579,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.3,high,最大井径309mm@5579m（241.3mm井眼）；2026-08-29复核自caliper_profile.csv移出（1.4.3汇总统计不作为剖面测点）
ht1_004,min_caliper,214.9,mm,7521,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.3,high,最小井径214.9mm（215.9mm井眼段）；2026-08-29复核自caliper_profile.csv移出
ht1_004,belly_hole_caliper,305,mm,5578,5582,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.3,high,大肚子井段5578-5582m平均305mm；同段1.4.2电测表均值为250.82mm（两口径并存，1.4.3为井身质量口径）
