排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.3,15.0,110.0,0.902352,9.6
0.3,15.0,130.0,0.903822,9.0
0.3,15.0,150.0,0.904825,9.2
0.3,15.0,170.0,0.905552,9.1
0.3,15.0,190.0,0.906102,9.1
0.3,15.0,210.0,0.90653,9.1
0.3,15.0,230.0,0.906874,9.2
0.3,15.0,250.0,0.907154,9.5
0.3,15.0,270.0,0.907388,9.4
0.3,15.0,290.0,0.907585,9.3
0.3,15.0,310.0,0.907752,9.2
0.3,15.0,330.0,0.907897,9.0
0.3,15.0,350.0,0.908022,9.0
0.3,16.0,50.0,0.892257,9.0
0.3,16.0,70.0,0.898392,9.1
0.3,16.0,90.0,0.901497,9.2
0.3,16.0,110.0,0.903318,9.0
0.3,16.0,130.0,0.904506,9.8
0.3,16.0,150.0,0.905339,11.2
0.3,16.0,170.0,0.905955,11.3
0.3,16.0,190.0,0.906427,11.5
0.3,16.0,210.0,0.906801,11.4
0.3,16.0,230.0,0.907102,11.5
0.3,16.0,250.0,0.907351,11.3
0.3,16.0,270.0,0.907558,10.1
0.3,16.0,290.0,0.907734,9.6
0.3,16.0,310.0,0.907886,11.1
0.3,16.0,330.0,0.908017,11.7
0.3,16.0,350.0,0.908131,10.9
0.3,17.0,50.0,0.895962,10.0
0.3,17.0,70.0,0.900306,9.5
0.3,17.0,90.0,0.902654,10.6
0.3,17.0,110.0,0.904104,10.5
0.3,17.0,130.0,0.905082,10.7
0.3,17.0,150.0,0.905783,10.6
0.3,17.0,170.0,0.906309,10.5
0.3,17.0,190.0,0.906719,10.3
0.3,17.0,210.0,0.907044,10.7
0.3,17.0,230.0,0.907311,9.8
0.3,17.0,250.0,0.907531,10.0
0.3,17.0,270.0,0.907716,10.0
0.3,17.0,290.0,0.907874,9.7
0.3,17.0,310.0,0.90801,9.3
0.3,17.0,330.0,0.908129,10.1
0.3,17.0,350.0,0.908233,10.8
0.3,18.0,50.0,0.898549,9.1
0.3,18.0,70.0,0.901743,9.3
0.3,18.0,90.0,0.903576,9.7
0.3,18.0,110.0,0.904756,11.0
0.3,18.0,130.0,0.905573,10.9
0.3,18.0,150.0,0.906169,11.2
0.3,18.0,170.0,0.906623,11.6
0.3,18.0,190.0,0.906979,11.3
0.3,18.0,210.0,0.907265,11.2
0.3,18.0,230.0,0.9075,11.2
0.3,18.0,250.0,0.907697,11.1
0.3,18.0,270.0,0.907862,11.2
0.3,18.0,290.0,0.908004,11.5
0.3,18.0,310.0,0.908127,11.6
0.3,18.0,330.0,0.908234,9.9
0.3,18.0,350.0,0.908329,10.0
0.3,19.0,50.0,0.900422,9.9
0.3,19.0,70.0,0.902856,9.9
0.3,19.0,90.0,0.904328,9.9
0.3,19.0,110.0,0.905305,9.9
0.3,19.0,130.0,0.905996,10.0
0.3,19.0,150.0,0.906509,10.0
0.3,19.0,170.0,0.906902,10.2
0.3,19.0,190.0,0.907214,9.8
0.3,19.0,210.0,0.907466,10.0
0.3,19.0,230.0,0.907674,9.9
0.3,19.0,250.0,0.907849,10.0
0.3,19.0,270.0,0.907998,10.0
0.3,19.0,290.0,0.908126,9.8
0.3,19.0,310.0,0.908236,9.8
0.3,19.0,330.0,0.908334,9.9
0.3,19.0,350.0,0.908419,9.8
0.3,20.0,50.0,0.901831,9.8
0.3,20.0,70.0,0.903742,10.2
0.3,20.0,90.0,0.904952,9.9
0.3,20.0,110.0,0.905773,9.9
0.3,20.0,130.0,0.906365,10.8
0.3,20.0,150.0,0.906808,12.5
0.3,20.0,170.0,0.907152,11.7
0.3,20.0,190.0,0.907426,11.9
0.3,20.0,210.0,0.907649,10.9
0.3,20.0,230.0,0.907835,11.3
0.3,20.0,250.0,0.90799,11.0
0.3,20.0,270.0,0.908123,10.7
0.3,20.0,290.0,0.908239,10.6
0.3,20.0,310.0,0.908339,11.2
0.3,20.0,330.0,0.908427,10.6
0.3,20.0,350.0,0.908505,10.7
0.3,21.0,50.0,0.902926,10.6
0.3,21.0,70.0,0.904463,10.8
0.3,21.0,90.0,0.905477,10.6
0.3,21.0,110.0,0.906177,11.0
0.3,21.0,130.0,0.906688,10.6
0.3,21.0,150.0,0.907074,10.8
0.3,21.0,170.0,0.907376,10.7
0.3,21.0,190.0,0.907617,11.2
0.3,21.0,210.0,0.907816,11.0
0.3,21.0,230.0,0.907981,10.9
0.3,21.0,250.0,0.908121,10.6
0.3,21.0,270.0,0.908241,10.5
0.3,21.0,290.0,0.908344,10.5
0.3,21.0,310.0,0.908435,10.4
0.3,21.0,330.0,0.908516,10.4
0.3,21.0,350.0,0.908586,10.9
0.3,22.0,50.0,0.903798,10.5
0.3,22.0,70.0,0.90506,10.6
0.3,22.0,90.0,0.905924,10.5
0.3,22.0,110.0,0.906528,9.5
0.3,22.0,130.0,0.906972,9.9
0.3,22.0,150.0,0.907312,10.6
0.3,22.0,170.0,0.907578,10.8
0.3,22.0,190.0,0.907793,10.7
0.3,22.0,210.0,0.907969,11.1
0.3,22.0,230.0,0.908117,10.4
0.3,22.0,250.0,0.908242,10.4
0.3,22.0,270.0,0.90835,9.8
0.3,22.0,290.0,0.908443,10.2
0.3,22.0,310.0,0.908525,9.7
0.3,22.0,330.0,0.908598,9.9
0.3,22.0,350.0,0.908663,10.0
0.3,23.0,50.0,0.904503,9.8
0.3,23.0,70.0,0.905563,9.8
0.3,23.0,90.0,0.906307,10.0
0.3,23.0,110.0,0.906835,9.9
0.3,23.0,130.0,0.907225,10.4
0.3,23.0,150.0,0.907525,10.3
0.3,23.0,170.0,0.907761,10.2
0.3,23.0,190.0,0.907952,9.9
0.3,23.0,210.0,0.90811,9.7
0.3,23.0,230.0,0.908243,10.1
0.3,23.0,250.0,0.908355,10.0
0.3,23.0,270.0,0.908452,10.1
0.3,23.0,290.0,0.908537,9.9
0.3,23.0,310.0,0.908611,10.5
0.3,23.0,330.0,0.908677,11.1
0.3,23.0,350.0,0.908735,11.3
0.3,24.0,50.0,0.905085,11.3
0.3,24.0,70.0,0.905991,11.3
0.3,24.0,90.0,0.90664,11.4
0.3,24.0,110.0,0.907105,11.1
0.3,24.0,130.0,0.90745,11.0
0.3,24.0,150.0,0.907716,10.7
0.3,24.0,170.0,0.907927,11.0
0.3,24.0,190.0,0.908099,11.2
0.3,24.0,210.0,0.90824,11.3
0.3,24.0,230.0,0.908359,10.9
0.3,24.0,250.0,0.908461,11.3
0.3,24.0,270.0,0.908548,11.3
0.3,24.0,290.0,0.908624,11.0
0.3,24.0,310.0,0.908692,10.8
0.3,24.0,330.0,0.908751,10.9
0.3,24.0,350.0,0.908804,11.1
0.3,25.0,50.0,0.905581,10.8
0.3,25.0,70.0,0.906362,11.1
0.3,25.0,90.0,0.90693,11.1
0.3,25.0,110.0,0.907344,11.0
0.3,25.0,130.0,0.907651,11.3
0.3,25.0,150.0,0.907889,11.5
0.3,25.0,170.0,0.908078,11.2
0.3,25.0,190.0,0.908232,11.5
0.3,25.0,210.0,0.908359,11.6
0.3,25.0,230.0,0.908467,11.0
0.3,25.0,250.0,0.908558,11.2
0.3,25.0,270.0,0.908638,11.3
0.3,25.0,290.0,0.908706,11.5
0.3,25.0,310.0,0.908767,12.0
0.3,25.0,330.0,0.908822,11.5
0.3,25.0,350.0,0.90887,11.7
0.4,5.0,50.0,0.65605,10.4
0.4,5.0,70.0,0.731913,10.3
0.4,5.0,90.0,0.799287,10.4
0.4,5.0,110.0,0.840362,11.0
0.4,5.0,130.0,0.866592,10.7
0.4,5.0,150.0,0.88344,10.8
0.4,5.0,170.0,0.89279,10.4
0.4,5.0,190.0,0.89783,10.4
0.4,5.0,210.0,0.900757,10.3
0.4,5.0,230.0,0.90262,11.1
0.4,5.0,250.0,0.903896,10.7
0.4,5.0,270.0,0.90482,8.8
0.4,5.0,290.0,0.905519,9.0
0.4,5.0,310.0,0.906064,8.8
0.4,5.0,330.0,0.9065,9.7
0.4,5.0,350.0,0.906857,10.4
0.4,6.0,50.0,0.683802,10.9
0.4,6.0,70.0,0.762161,10.2
0.4,6.0,90.0,0.820317,10.2
0.4,6.0,110.0,0.854461,10.0
0.4,6.0,130.0,0.876683,10.1
0.4,6.0,150.0,0.889368,9.7
0.4,6.0,170.0,0.89605,10.4
0.4,6.0,190.0,0.899742,10.3
0.4,6.0,210.0,0.901987,10.3
0.4,6.0,230.0,0.903474,9.1
0.4,6.0,250.0,0.904525,8.5
0.4,6.0,270.0,0.905304,8.5
0.4,6.0,290.0,0.905904,8.4
0.4,6.0,310.0,0.906379,8.5
0.4,6.0,330.0,0.906764,8.5
0.4,6.0,350.0,0.907082,8.4
0.4,7.0,50.0,0.714385,8.3
0.4,7.0,70.0,0.791763,8.4
0.4,7.0,90.0,0.837906,8.4
0.4,7.0,110.0,0.867266,8.5
0.4,7.0,130.0,0.88456,8.4
0.4,7.0,150.0,0.893656,8.6
0.4,7.0,170.0,0.898449,8.5
0.4,7.0,190.0,0.901216,9.9
0.4,7.0,210.0,0.902976,9.8
0.4,7.0,230.0,0.904184,9.6
0.4,7.0,250.0,0.905062,10.2
0.4,7.0,270.0,0.905726,9.7
0.4,7.0,290.0,0.906246,9.6
0.4,7.0,310.0,0.906663,9.8
0.4,7.0,330.0,0.907004,9.6
0.4,7.0,350.0,0.907288,8.9
0.4,8.0,50.0,0.749171,8.8
0.4,8.0,70.0,0.814562,8.8
0.4,8.0,90.0,0.85407,8.7
0.4,8.0,110.0,0.877697,8.8
0.4,8.0,130.0,0.890326,9.1
0.4,8.0,150.0,0.89675,10.4
0.4,8.0,170.0,0.900255,10.1
0.4,8.0,190.0,0.902379,9.4
0.4,8.0,210.0,0.903787,10.9
0.4,8.0,230.0,0.904784,10.4
0.4,8.0,250.0,0.905526,10.5
0.4,8.0,270.0,0.906098,10.5
0.4,8.0,290.0,0.906551,10.1
0.4,8.0,310.0,0.906919,10.5
0.4,8.0,330.0,0.907222,10.3
0.4,8.0,350.0,0.907476,10.1
0.4,9.0,50.0,0.779999,10.3
0.4,9.0,70.0,0.83519,10.5
0.4,9.0,90.0,0.867801,10.1
0.4,9.0,110.0,0.885555,10.2
0.4,9.0,130.0,0.894442,10.0
0.4,9.0,150.0,0.899023,9.9
0.4,9.0,170.0,0.901648,10.0
0.4,9.0,190.0,0.903316,10.1
0.4,9.0,210.0,0.904464,10.0
0.4,9.0,230.0,0.905299,9.9
0.4,9.0,250.0,0.905932,10.0
0.4,9.0,270.0,0.906428,9.9
0.4,9.0,290.0,0.906825,9.8
0.4,9.0,310.0,0.907151,10.0
0.4,9.0,330.0,0.907422,10.2
0.4,9.0,350.0,0.907651,9.9
0.4,10.0,50.0,0.806931,10.1
0.4,10.0,70.0,0.853306,10.0
0.4,10.0,90.0,0.878559,9.9
0.4,10.0,110.0,0.891182,10.2
0.4,10.0,130.0,0.897394,10.3
0.4,10.0,150.0,0.900734,10.0
0.4,10.0,170.0,0.902751,9.9
0.4,10.0,190.0,0.90409,9.9
0.4,10.0,210.0,0.905039,10.0
0.4,10.0,230.0,0.905745,9.9
0.4,10.0,250.0,0.90629,10.5
0.4,10.0,270.0,0.906722,10.3
0.4,10.0,290.0,0.907073,10.1
0.4,10.0,310.0,0.907363,9.8
0.4,10.0,330.0,0.907606,9.5
0.4,10.0,350.0,0.907812,10.0
0.4,11.0,50.0,0.831202,10.1
0.4,11.0,70.0,0.868077,10.2
0.4,11.0,90.0,0.886407,10.1
0.4,11.0,110.0,0.89515,10.1
0.4,11.0,130.0,0.899556,10.0
0.4,11.0,150.0,0.902057,9.7
0.4,11.0,170.0,0.903646,10.0
0.4,11.0,190.0,0.904738,10.3
0.4,11.0,210.0,0.905533,10.0
0.4,11.0,230.0,0.906137,10.0
0.4,11.0,250.0,0.906609,9.9
0.4,11.0,270.0,0.906988,9.9
0.4,11.0,290.0,0.907298,10.0
0.4,11.0,310.0,0.907557,9.9
0.4,11.0,330.0,0.907775,9.6
0.4,11.0,350.0,0.907962,10.2
0.4,12.0,50.0,0.851785,9.9
0.4,12.0,70.0,0.879164,10.4
0.4,12.0,90.0,0.891919,10.0
0.4,12.0,110.0,0.897977,9.9
0.4,12.0,130.0,0.901183,9.9
0.4,12.0,150.0,0.903109,9.9
0.4,12.0,170.0,0.904385,9.3
0.4,12.0,190.0,0.90529,9.2
0.4,12.0,210.0,0.905964,9.2
0.4,12.0,230.0,0.906483,9.2
0.4,12.0,250.0,0.906895,9.9
0.4,12.0,270.0,0.907229,9.4
0.4,12.0,290.0,0.907505,9.9
0.4,12.0,310.0,0.907736,10.1
0.4,12.0,330.0,0.907932,9.2
0.4,12.0,350.0,0.908101,9.2
0.4,13.0,50.0,0.867745,9.4
0.4,13.0,70.0,0.88703,9.3
0.4,13.0,90.0,0.89576,9.8
0.4,13.0,110.0,0.900041,10.6
0.4,13.0,130.0,0.902445,9.4
0.4,13.0,150.0,0.903963,9.4
0.4,13.0,170.0,0.905007,10.1
0.4,13.0,190.0,0.905766,11.2
0.4,13.0,210.0,0.906341,11.0
0.4,13.0,230.0,0.906791,11.6
0.4,13.0,250.0,0.907153,11.5
0.4,13.0,270.0,0.907448,11.3
0.4,13.0,290.0,0.907694,10.1
0.4,13.0,310.0,0.907901,10.7
0.4,13.0,330.0,0.908078,10.7
0.4,13.0,350.0,0.908231,10.8
0.4,14.0,50.0,0.879264,11.5
0.4,14.0,70.0,0.892463,11.0
0.4,14.0,90.0,0.898477,10.6
0.4,14.0,110.0,0.901593,10.9
0.4,14.0,130.0,0.903448,10.7
0.4,14.0,150.0,0.904673,11.1
0.4,14.0,170.0,0.905538,10.6
0.4,14.0,190.0,0.906182,10.8
0.4,14.0,210.0,0.906677,10.8
0.4,14.0,230.0,0.907069,10.2
0.4,14.0,250.0,0.907386,10.1
0.4,14.0,270.0,0.907648,10.2
0.4,14.0,290.0,0.907869,10.1
0.4,14.0,310.0,0.908055,9.6
0.4,14.0,330.0,0.908215,10.3
0.4,14.0,350.0,0.908353,10.1
0.4,15.0,50.0,0.887255,10.4
0.4,15.0,70.0,0.896201,10.5
0.4,15.0,90.0,0.900451,10.6
0.4,15.0,110.0,0.902797,10.5
0.4,15.0,130.0,0.904267,10.2
0.4,15.0,150.0,0.90527,10.4
0.4,15.0,170.0,0.905997,10.4
0.4,15.0,190.0,0.906546,10.3
0.4,15.0,210.0,0.906975,10.4
0.4,15.0,230.0,0.907319,10.5
0.4,15.0,250.0,0.907599,10.5
0.4,15.0,270.0,0.907832,10.4
0.4,15.0,290.0,0.908029,10.3
0.4,15.0,310.0,0.908197,10.3
0.4,15.0,330.0,0.908342,10.6
0.4,15.0,350.0,0.908468,10.4
0.4,16.0,50.0,0.892686,10.3
0.4,16.0,70.0,0.898826,10.3
0.4,16.0,90.0,0.901933,10.3
0.4,16.0,110.0,0.903756,10.3
0.4,16.0,130.0,0.904946,10.2
0.4,16.0,150.0,0.90578,9.9
0.4,16.0,170.0,0.906397,9.9
0.4,16.0,190.0,0.90687,9.7
0.4,16.0,210.0,0.907244,9.5
0.4,16.0,230.0,0.907545,9.8
0.4,16.0,250.0,0.907795,9.7
0.4,16.0,270.0,0.908002,10.0
0.4,16.0,290.0,0.908178,9.8
0.4,16.0,310.0,0.908329,9.8
0.4,16.0,330.0,0.908461,10.1
0.4,16.0,350.0,0.908575,9.8
0.4,17.0,50.0,0.896385,10.2
0.4,17.0,70.0,0.90073,9.8
0.4,17.0,90.0,0.903082,10.1
0.4,17.0,110.0,0.904536,10.2
0.4,17.0,130.0,0.905517,10.0
0.4,17.0,150.0,0.906221,9.9
0.4,17.0,170.0,0.906749,9.9
0.4,17.0,190.0,0.907159,10.2
0.4,17.0,210.0,0.907486,10.3
0.4,17.0,230.0,0.907752,10.1
0.4,17.0,250.0,0.907972,9.9
0.4,17.0,270.0,0.908159,10.3
0.4,17.0,290.0,0.908317,10.2
0.4,17.0,310.0,0.908454,10.0
0.4,17.0,330.0,0.908572,10.1
0.4,17.0,350.0,0.908676,10.3
0.4,18.0,50.0,0.898963,10.2
0.4,18.0,70.0,0.90216,10.1
0.4,18.0,90.0,0.903998,9.9
0.4,18.0,110.0,0.905183,9.9
0.4,18.0,130.0,0.906004,10.1
0.4,18.0,150.0,0.906604,10.3
0.4,18.0,170.0,0.907059,10.3
0.4,18.0,190.0,0.907417,10.3
0.4,18.0,210.0,0.907704,10.1
0.4,18.0,230.0,0.907941,10.0
0.4,18.0,250.0,0.908137,10.2
0.4,18.0,270.0,0.908303,9.9
0.4,18.0,290.0,0.908447,10.2
0.4,18.0,310.0,0.90857,10.1
0.4,18.0,330.0,0.908677,10.2
0.4,18.0,350.0,0.908772,10.2
0.4,19.0,50.0,0.900831,9.9
0.4,19.0,70.0,0.903268,10.0
0.4,19.0,90.0,0.904746,10.2
0.4,19.0,110.0,0.905728,10.1
0.4,19.0,130.0,0.906424,10.1
0.4,19.0,150.0,0.90694,10.0
0.4,19.0,170.0,0.907336,9.9
0.4,19.0,190.0,0.907649,9.9
0.4,19.0,210.0,0.907904,9.9
0.4,19.0,230.0,0.908113,10.2
0.4,19.0,250.0,0.908289,10.2
0.4,19.0,270.0,0.908438,9.9
0.4,19.0,290.0,0.908566,10.0
0.4,19.0,310.0,0.908678,10.0
0.4,19.0,330.0,0.908776,10.7
0.4,19.0,350.0,0.908862,10.4
0.4,20.0,50.0,0.902237,10.5
0.4,20.0,70.0,0.904151,10.6
0.4,20.0,90.0,0.905366,10.2
0.4,20.0,110.0,0.906193,10.1
0.4,20.0,130.0,0.906789,10.0
0.4,20.0,150.0,0.907236,10.1
0.4,20.0,170.0,0.907583,9.7
0.4,20.0,190.0,0.907859,9.1
0.4,20.0,210.0,0.908085,9.0
0.4,20.0,230.0,0.908271,9.2
0.4,20.0,250.0,0.908428,9.0
0.4,20.0,270.0,0.908563,8.9
0.4,20.0,290.0,0.908678,9.0
0.4,20.0,310.0,0.908779,9.1
0.4,20.0,330.0,0.908868,9.0
0.4,20.0,350.0,0.908947,9.0
0.4,21.0,50.0,0.903329,8.9
0.4,21.0,70.0,0.904869,8.9
0.4,21.0,90.0,0.905888,8.9
0.4,21.0,110.0,0.906594,9.1
0.4,21.0,130.0,0.907109,9.1
0.4,21.0,150.0,0.9075,9.0
0.4,21.0,170.0,0.907805,9.0
0.4,21.0,190.0,0.90805,9.4
0.4,21.0,210.0,0.90825,9.4
0.4,21.0,230.0,0.908417,9.3
0.4,21.0,250.0,0.908558,9.0
0.4,21.0,270.0,0.908678,9.1
0.4,21.0,290.0,0.908783,9.0
0.4,21.0,310.0,0.908875,9.1
0.4,21.0,330.0,0.908955,9.0
0.4,21.0,350.0,0.909027,9.0
0.4,22.0,50.0,0.904201,9.0
0.4,22.0,70.0,0.905464,9.0
0.4,22.0,90.0,0.906333,8.9
0.4,22.0,110.0,0.906942,9.0
0.4,22.0,130.0,0.907391,9.0
0.4,22.0,150.0,0.907735,9.1
0.4,22.0,170.0,0.908005,9.0
0.4,22.0,190.0,0.908223,8.9
0.4,22.0,210.0,0.908402,10.1
0.4,22.0,230.0,0.908551,10.1
0.4,22.0,250.0,0.908678,10.2
0.4,22.0,270.0,0.908787,10.2
0.4,22.0,290.0,0.908881,9.9
0.4,22.0,310.0,0.908965,9.8
0.4,22.0,330.0,0.909038,9.4
0.4,22.0,350.0,0.909103,9.5
0.4,23.0,50.0,0.904905,9.7
0.4,23.0,70.0,0.905966,10.1
0.4,23.0,90.0,0.906715,10.2
0.4,23.0,110.0,0.907247,10.0
0.4,23.0,130.0,0.907642,10.1
0.4,23.0,150.0,0.907946,10.0
0.4,23.0,170.0,0.908186,10.0
0.4,23.0,190.0,0.90838,10.2
0.4,23.0,210.0,0.90854,10.6
0.4,23.0,230.0,0.908675,9.8
0.4,23.0,250.0,0.908789,10.1
0.4,23.0,270.0,0.908888,9.8
0.4,23.0,290.0,0.908974,9.7
0.4,23.0,310.0,0.909049,9.7
0.4,23.0,330.0,0.909116,9.8
0.4,23.0,350.0,0.909175,10.1
0.4,24.0,50.0,0.905487,10.0
0.4,24.0,70.0,0.906394,9.7
0.4,24.0,90.0,0.907046,9.7
0.4,24.0,110.0,0.907516,9.5
0.4,24.0,130.0,0.907865,9.9
0.4,24.0,150.0,0.908135,9.7
0.4,24.0,170.0,0.90835,10.1
0.4,24.0,190.0,0.908525,10.2
0.4,24.0,210.0,0.908669,9.9
0.4,24.0,230.0,0.90879,9.5
0.4,24.0,250.0,0.908893,9.6
0.4,24.0,270.0,0.908982,9.8
0.4,24.0,290.0,0.90906,9.8
0.4,24.0,310.0,0.909128,9.5
0.4,24.0,330.0,0.909189,9.7
0.4,24.0,350.0,0.909244,9.8
0.4,25.0,50.0,0.905983,9.5
0.4,25.0,70.0,0.906765,9.9
0.4,25.0,90.0,0.907336,10.2
0.4,25.0,110.0,0.907753,9.8
0.4,25.0,130.0,0.908065,10.1
0.4,25.0,150.0,0.908307,10.0
