well_id,md_m,caliper_mm,borehole_nominal_diameter_mm,enlargement_ratio,data_type,source_file,source_location,confidence,notes
hu101,7240,212.45,215.9,-1.6,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7260,215.48,215.9,-0.19,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7280,213.64,215.9,-1.05,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7300,214.01,215.9,-0.88,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7320,213.13,215.9,-1.28,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7340,212.66,215.9,-1.5,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7360,213.42,215.9,-1.15,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7380,211.04,215.9,-2.25,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7400,211.35,215.9,-2.11,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7420,211.12,215.9,-2.21,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7440,203.92,215.9,-5.55,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7460,208.87,215.9,-3.26,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7480,211.04,215.9,-2.25,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7500,210.86,215.9,-2.33,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7520,213.14,215.9,-1.28,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7540,212.77,215.9,-1.45,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7560,219.41,215.9,1.63,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7580,213.25,215.9,-1.23,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7600,204.14,215.9,-5.45,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7620,210.8,215.9,-2.36,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7640,205.45,215.9,-4.84,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7660,212.75,215.9,-1.46,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7680,226.91,215.9,5.1,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7700,241.5,215.9,11.86,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7720,213.67,215.9,-1.03,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7740,218.38,215.9,1.15,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7760,235.54,215.9,9.1,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7780,234.47,215.9,8.6,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7800,241.01,215.9,11.63,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7820,242.43,215.9,12.29,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7840,215.9,215.9,0.0,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
hu101,7868,215.9,215.9,0.0,field_measured,2/201/2011/20111/201111/2011113.doc,三、电测井径、井斜、方位,high,从固井作业史电测数据提取，逐点
