well_id,fluid_type,property,value,unit,test_temp_c,test_pressure_mpa,data_type,source_file,confidence,notes
hu102,尾浆(水泥浆),配方,G+12%WG+75%磁铁矿粉+30%SiO2+3%SUP+8%ST900L+2%SXY-2+1.5%ST400S+2.4%ST300R+0.3%ST500L,,,,measured,20234.doc,high,ST300R减至2.4%
hu102,尾浆(水泥浆),稠化时间,255,min,126,150,measured,20234.doc,high,初始19Bc-终止70Bc
hu102,尾浆(水泥浆),phi300,163,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi200,128,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi100,106,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi6,10,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi3,6,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),n,0.737,,,,measured,20234.doc,high,
hu102,尾浆(水泥浆),K,0.947,Pa.s^n,,,measured,20234.doc,high,
hu102,尾浆(水泥浆),API失水(30min),41,mL,126,6.9,measured,20234.doc,high,
hu102,尾浆(水泥浆),24h抗压强度,21.3,MPa,148,20.7,measured,20234.doc,high,
hu102,尾浆(水泥浆),游离液,0,%,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),温度高点稠化(132C),218,min,132,150,measured,20234.doc,high,
hu102,尾浆(水泥浆),密度高点稠化(2.23),227,min,126,150,measured,20234.doc,high,
hu102,尾浆(水泥浆),静胶凝发挥时间,260,min,,,measured,20234.doc,high,
hu102,混浆(7:1:2),稠化时间,>390,min,,,measured,20234.doc,high,"领浆:隔离液:先导浆=7:1:2, 未稠"
hu102,混浆(7:2:1),稠化时间,>390,min,,,measured,20234.doc,high,"领浆:隔离液:先导浆=7:2:1, 未稠"
hu102,混浆(1:1:1:1),稠化时间,>390,min,,,measured,20234.doc,high,"领浆:隔离液:先导浆:泥浆=1:1:1:1, 未稠"
hu102,前置液(平衡液),密度,1.90,g/cm3,,,measured,20211.doc,high,
hu102,隔离液,密度,2.05,g/cm3,,,measured,20211.doc,high,
hu102,后置液(保护液),密度,1.90,g/cm3,,,measured,20211.doc,high,
hu102,压塞液,密度,2.10,g/cm3,,,measured,20211.doc,high,
