well_id,md_m,inclination_deg,azimuth_deg,tvd_m,data_type,source_file,source_location,confidence,notes
hu103,6360,0.3,216.97,6359.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移15.9m
hu103,6390,0.29,218.8,6389.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.0m
hu103,6420,0.19,209.01,6419.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.1m
hu103,6450,0.19,203.1,6449.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.1m
hu103,6480,0.21,183.26,6479.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.2m
hu103,6510,0.2,157.65,6509.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.3m
hu103,6540,0.19,103.53,6539.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.4m
hu103,6570,0.18,38.53,6569.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.5m
hu103,6600,0.18,295,6599.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.5m
hu103,6630,0.21,178.63,6629.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.6m
hu103,6660,0.17,76.16,6659.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.7m
hu103,6690,0.18,294.8,6689.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.8m
hu103,6720,0.2,160.06,6719.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.9m
hu103,6750,0.16,3.77,6749.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移16.9m
hu103,6780,0.22,216.99,6779.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.0m
hu103,6810,0.17,77.44,6809.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.1m
hu103,6840,0.1,304.44,6839.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.2m
hu103,6870,0.31,87.99,6869.97,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.3m
hu103,6900,0.45,41.66,6899.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.3m
hu103,6930,0.47,68.51,6929.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.4m
hu103,6960,0.61,54.26,6959.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.5m
hu103,6990,0.12,348.67,6989.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.6m
hu103,7000,0.12,348.67,6999.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.7m
hu103,7020,0.23,137.1,7019.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.7m
hu103,7050,0.12,316.31,7049.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.8m
hu103,7080,0.19,157.34,7079.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移17.9m
hu103,7110,0.14,332.74,7109.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.0m
hu103,7140,0.23,183.53,7139.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.1m
hu103,7170,0.33,119.93,7169.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.1m
hu103,7200,0.43,131.54,7199.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.2m
hu103,7230,0.52,140.54,7229.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.3m
hu103,7260,0.57,138.7,7259.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.4m
hu103,7290,0.54,163.26,7289.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.5m
hu103,7320,0.51,179.88,7319.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.5m
hu103,7334,0.51,179.88,7333.96,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.6m
hu103,7350,0.49,199.87,7349.95,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.7m
hu103,7380,0.48,186.88,7379.95,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.8m
hu103,7410,0.83,176.65,7409.95,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.9m
hu103,7440,0.69,201.73,7439.95,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移18.9m
hu103,7470,0.72,222.32,7469.95,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.0m
hu103,7500,0.66,231.5,7499.94,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.1m
hu103,7530,0.61,229.2,7529.94,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.2m
hu103,7560,0.81,216.82,7559.94,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.3m
hu103,7590,1.02,240.31,7589.94,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.3m
hu103,7620,1.23,241.58,7619.93,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.4m
hu103,7650,1.53,249.34,7649.92,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.5m
hu103,7680,1.39,235.44,7679.91,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.6m
hu103,7710,1.15,218.05,7709.9,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.7m
hu103,7770,1.13,229.08,7769.89,field_measured,2\203\2031\20313.doc,1.5.1井斜方位(30m),high,水平位移19.7m
