sep=,,,,,,,,,
序号,depth_md_m,cbl_amplitude_pct,quality_proxy,quality_proxy_pct,质量等级_代理,分段类型,分段说明,是否目的井段,是否双层套管不评价段
29,5780,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
30,5790,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
31,5800,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
32,5810,3.3,0.967,96.7,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
33,5820,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
34,5830,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
35,5840,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
36,5850,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
37,5860,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
38,5870,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
39,5880,5.2,0.948,94.8,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
40,5890,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
41,5900,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
42,5910,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
43,5920,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
44,5930,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
45,5940,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
46,5950,5.9,0.941,94.1,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
47,5960,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
48,5970,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
49,5980,5.6,0.944,94.4,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
50,5990,5.6,0.944,94.4,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
51,6000,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
52,6010,6.3,0.937,93.7,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
53,6020,7.4,0.926,92.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
54,6030,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
55,6040,5.9,0.941,94.1,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
56,6050,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,否,否
57,6060,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,否,否
58,6070,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,否,否
59,6080,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,否,否
60,6090,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,否,否
61,6100,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,否,否
62,6110,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,否,否
63,6120,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,否,否
64,6130,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,否,否
65,6140,93,0.07,7,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,否,否
66,6150,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,否,否
67,6160,92.6,0.074,7.4,差/空套风险,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
68,6170,92.6,0.074,7.4,差/空套风险,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
69,6180,92.6,0.074,7.4,差/空套风险,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
70,6190,92.6,0.074,7.4,差/空套风险,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
71,6200,92.6,0.074,7.4,差/空套风险,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
72,6210,92.6,0.074,7.4,差/空套风险,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
73,6220,7.4,0.926,92.6,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
74,6230,5.6,0.944,94.4,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
75,6240,24.8,0.752,75.2,胶结中等,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
76,6250,5.9,0.941,94.1,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
77,6260,5.2,0.948,94.8,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
78,6270,5.2,0.948,94.8,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
79,6280,4.4,0.956,95.6,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
80,6290,4.8,0.952,95.2,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
81,6300,4.4,0.956,95.6,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
82,6310,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
83,6320,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
84,6330,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
85,6340,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
86,6350,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
87,6360,4.8,0.952,95.2,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
88,6370,4.8,0.952,95.2,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
89,6380,3.7,0.963,96.3,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
90,6390,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
91,6400,4.1,0.959,95.9,胶结良好,目的井段,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,是,否
92,6410,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
93,6420,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
94,6430,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
95,6440,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
96,6450,3.3,0.967,96.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
97,6460,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
98,6470,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
99,6480,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
100,6490,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
101,6500,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
102,6510,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
103,6520,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
104,6530,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
105,6540,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
106,6550,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
107,6560,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
108,6570,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
109,6580,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
110,6590,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
111,6600,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
112,6610,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
113,6620,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
114,6630,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
115,6640,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
116,6650,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
117,6660,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
118,6670,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
119,6680,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
120,6690,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
121,6700,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
122,6710,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
123,6720,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
124,6730,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
125,6740,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
126,6750,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
127,6760,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
128,6770,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
129,6780,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
130,6790,3.3,0.967,96.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
131,6800,7,0.93,93,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
132,6810,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
133,6820,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
134,6830,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
135,6840,6.7,0.933,93.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
136,6850,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
137,6860,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
138,6870,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
139,6880,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
140,6890,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
141,6900,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
142,6910,3.3,0.967,96.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
143,6920,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
144,6930,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
145,6940,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
146,6950,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
147,6960,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
148,6970,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
149,6980,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
150,6990,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
151,7000,7,0.93,93,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
152,7010,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
153,7020,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
154,7030,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
155,7040,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
156,7050,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
157,7060,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
158,7070,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
159,7080,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
160,7090,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
161,7100,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
162,7110,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
163,7120,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
164,7130,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
165,7140,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
166,7150,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
167,7160,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
168,7170,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
169,7180,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
170,7190,7.8,0.922,92.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
171,7200,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
172,7210,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
173,7220,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
174,7230,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
175,7240,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
176,7250,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
177,7260,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
178,7270,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
179,7280,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
180,7290,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
181,7300,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
182,7310,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
183,7320,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
184,7330,3.7,0.963,96.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
185,7340,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
186,7350,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
187,7360,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
188,7370,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
189,7380,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
190,7390,7,0.93,93,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
191,7400,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
192,7410,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
193,7420,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
194,7430,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
195,7440,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
196,7450,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
197,7460,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
198,7470,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
199,7480,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
200,7490,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
201,7500,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
202,7510,4.8,0.952,95.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
203,7520,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
204,7530,6.7,0.933,93.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
205,7540,4.4,0.956,95.6,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
206,7550,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
207,7560,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
208,7570,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
209,7580,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
210,7590,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
211,7600,8.1,0.919,91.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
212,7610,8.1,0.919,91.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
213,7620,5.6,0.944,94.4,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
214,7630,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
215,7640,6.7,0.933,93.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
216,7650,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
217,7660,7.8,0.922,92.2,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
218,7670,6.7,0.933,93.3,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
219,7680,8.9,0.911,91.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
220,7690,8.5,0.915,91.5,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
221,7700,6.3,0.937,93.7,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
222,7710,5.2,0.948,94.8,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
223,7720,5.9,0.941,94.1,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
224,7730,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
225,7740,4.1,0.959,95.9,胶结良好,目的井段,6153.0-7741.0m 目的/应封固评价井段,是,否
226,7750,5.6,0.944,94.4,胶结良好,其他测量段,测量井段内其他深度,否,否
227,7760,5.2,0.948,94.8,胶结良好,其他测量段,测量井段内其他深度,否,否
228,7770,3.7,0.963,96.3,胶结良好,其他测量段,测量井段内其他深度,否,否
229,7780,4.1,0.959,95.9,胶结良好,其他测量段,测量井段内其他深度,否,否
230,7790,5.2,0.948,94.8,胶结良好,其他测量段,测量井段内其他深度,否,否
231,7800,4.4,0.956,95.6,胶结良好,其他测量段,测量井段内其他深度,否,否
232,7810,4.1,0.959,95.9,胶结良好,其他测量段,测量井段内其他深度,否,否
