sep=,,,,,,,,,,,,,
数据表,分组,字段,值,单位,井深_top_m,井深_bottom_m,depth_md_m,cbl_amplitude_pct,quality_proxy,质量等级_代理,说明,来源文件,OCR置信度
元数据,engineering_metadata,mud_density_g_cm3,1.96,g/cm3,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,cement_density_g_cm3,2.1,g/cm3,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,target_interval_md_m,"{""top"":6153.0,""bottom"":7741.0}",m,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata.target_interval_md_m,top,6153,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata.target_interval_md_m,bottom,7741,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,dual_casing_excluded_interval_md_m,"{""top"":5390.0,""bottom"":5699.8}",m,5390,5699.8,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata.dual_casing_excluded_interval_md_m,top,5390,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata.dual_casing_excluded_interval_md_m,bottom,5699.8,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,quality_evaluation,overall_quality,不合格,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,quality_evaluation,target_interval_quality,不合格,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,quality_evaluation,bond_qualification_rate_pct,62.77,%,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,quality_evaluation,qualification_threshold_pct,70,%,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,quality_evaluation,redline_violation,是,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,quality_evaluation,note,测量井段内水泥胶结质量合格率为62.77%，未达到应封固井段的70.00%,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_01,track,声波时差,,,,,,,,范围：100-500,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_01,range,100-500,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_01,unit,us/m,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_02,track,磁定位,,,,,,,,范围：-500~500,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_02,range,-500~500,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_02,unit,mV,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_03,track,声幅,,,,,,,,范围：0-100,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_03,range,0-100,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_03,unit,%,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_04,track,变密度,,,,,,,,范围：-500~500,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_04,range,-500~500,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_04,unit,mV,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_05,track,二界面,,,,,,,,范围：0-100,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_05,range,0-100,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_05,unit,relative,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_06,track,井径,,,,,,,,范围：10-50,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_06,range,10-50,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_06,unit,cm,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_07,track,自然伽玛(生产),,,,,,,,范围：100-2050,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_07,range,100-2050,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
测井道说明,track_07,unit,API,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
解释标签,interpretation_labels,label_01,胶结良好,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
解释标签,interpretation_labels,label_02,胶结中等,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
解释标签,interpretation_labels,label_03,胶结差,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
解释标签,interpretation_labels,label_04,空套管,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
CBL分段统计,full_interval_5500_7810,top_md_m,5500,m,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,full_interval_5500_7810,bottom_md_m,7810,m,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,full_interval_5500_7810,sample_count,232,,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,full_interval_5500_7810,mean_cbl_amplitude_pct,11.3806,%,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,full_interval_5500_7810,min_cbl_amplitude_pct,3.3,%,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,full_interval_5500_7810,max_cbl_amplitude_pct,93,%,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,full_interval_5500_7810,mean_quality_proxy,0.8862,,5500,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,top_md_m,5700,m,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,bottom_md_m,6100,m,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,sample_count,41,,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,mean_cbl_amplitude_pct,17.4854,%,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,min_cbl_amplitude_pct,3.3,%,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,max_cbl_amplitude_pct,92.6,%,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_5700_6100,mean_quality_proxy,0.8251,,5700,6100,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,top_md_m,6100,m,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,bottom_md_m,6400,m,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,sample_count,31,,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,mean_cbl_amplitude_pct,39.3968,%,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,min_cbl_amplitude_pct,3.7,%,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,max_cbl_amplitude_pct,93,%,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6100_6400,mean_quality_proxy,0.606,,6100,6400,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,top_md_m,6400,m,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,bottom_md_m,7810,m,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,sample_count,142,,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,mean_cbl_amplitude_pct,5.0373,%,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,min_cbl_amplitude_pct,3.3,%,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,max_cbl_amplitude_pct,8.9,%,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6400_7810,mean_quality_proxy,0.9496,,6400,7810,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,top_md_m,6153,m,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,bottom_md_m,7741,m,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,sample_count,159,,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,mean_cbl_amplitude_pct,8.4541,%,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,min_cbl_amplitude_pct,3.3,%,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,max_cbl_amplitude_pct,92.6,%,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL分段统计,zone_6153_7741_target_interval,mean_quality_proxy,0.9155,,6153,7741,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
关键观察,key_observations,observation_01,6100-6400m 为最明显异常段，CBL 声幅显著升高，应视为重点差胶结/窜流风险区。,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
关键观察,key_observations,observation_02,6400m 以下大部分区段声幅较低，图像提取结果表现为胶结质量代理值较高。,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
关键观察,key_observations,observation_03,CBL 实测返高 5402.85m 与井史 5407.5m 存在约 4.65m 差异，应作为独立实测锚点保留。,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
关键观察,key_observations,observation_04,5390.0-5699.8m 为双层套管，不应与目的井段胶结质量混同评价。,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
OCR精选图头,selected_ocr_001,text,中国石油集团测井有限公司,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.9209
OCR精选图头,selected_ocr_002,text,CHINANATIONALLOGGINGCORPORATION,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.961
OCR精选图头,selected_ocr_003,text,呼101井,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8001
OCR精选图头,selected_ocr_004,text,固井质量测井评价图,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8405
OCR精选图头,selected_ocr_005,text,深度比例：1:200,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.878
OCR精选图头,selected_ocr_006,text,用户单位,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7894
OCR精选图头,selected_ocr_007,text,测井公司,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7463
OCR精选图头,selected_ocr_008,text,中油测井新疆分公司,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8674
OCR精选图头,selected_ocr_009,text,新疆油田分公司,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8613
OCR精选图头,selected_ocr_010,text,固井日期,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7873
OCR精选图头,selected_ocr_011,text,2022/11/12,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8452
OCR精选图头,selected_ocr_012,text,CPLog,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8319
OCR精选图头,selected_ocr_013,text,测井日期,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7857
OCR精选图头,selected_ocr_014,text,呼图壁气田呼探1井区,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8713
OCR精选图头,selected_ocr_015,text,2022/12/15,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8643
OCR精选图头,selected_ocr_016,text,解释软件,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7962
OCR精选图头,selected_ocr_017,text,LEAD,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7702
OCR精选图头,selected_ocr_018,text,解释日期,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7693
OCR精选图头,selected_ocr_019,text,2022/12/16,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8999
OCR精选图头,selected_ocr_020,text,测井项目,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.79
OCR精选图头,selected_ocr_021,text,固井单位,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7626
OCR精选图头,selected_ocr_022,text,5390.000-7810.000m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8388
OCR精选图头,selected_ocr_023,text,"声幅变密度,校深（GR/CCL）",,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8686
OCR精选图头,selected_ocr_024,text,西部钻探,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7881
OCR精选图头,selected_ocr_025,text,完钻井深,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7825
OCR精选图头,selected_ocr_026,text,5402.850m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7549
OCR精选图头,selected_ocr_027,text,固井类别,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7701
OCR精选图头,selected_ocr_028,text,7868.000m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8755
OCR精选图头,selected_ocr_029,text,套管固井,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7871
OCR精选图头,selected_ocr_030,text,人工井底,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7692
OCR精选图头,selected_ocr_031,text,7809.400m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8707
OCR精选图头,selected_ocr_032,text,固井方式,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7906
OCR精选图头,selected_ocr_033,text,5402.850m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8946
OCR精选图头,selected_ocr_034,text,单级固井,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7775
OCR精选图头,selected_ocr_035,text,钻头程序,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7952
OCR精选图头,selected_ocr_036,text,悬挂器位置,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8231
OCR精选图头,selected_ocr_037,text,215.900mm*7868.000m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8987
OCR精选图头,selected_ocr_038,text,井液性质,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7612
OCR精选图头,selected_ocr_039,text,5402.850-5407.460m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7916
OCR精选图头,selected_ocr_040,text,泥浆（1.960g/cm）,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8588
OCR精选图头,selected_ocr_041,text,套管程序,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.791
OCR精选图头,selected_ocr_042,text,表层套管,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.773
OCR精选图头,selected_ocr_043,text,分级箍位置,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8308
OCR精选图头,selected_ocr_044,text,钻井单位,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7828
OCR精选图头,selected_ocr_045,text,609.6001mn*486.750m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8293
OCR精选图头,selected_ocr_046,text,西部钻探,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7845
OCR精选图头,selected_ocr_047,text,技术套管,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7993
OCR精选图头,selected_ocr_048,text,473050mm*304920cm,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.862
OCR精选图头,selected_ocr_049,text,7432.910-7434.260m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.9331
OCR精选图头,selected_ocr_050,text,365130mm*3935.850m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8721
OCR精选图头,selected_ocr_051,text,6153.000-7741.0001m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8379
OCR精选图头,selected_ocr_052,text,短套管下深,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7604
OCR精选图头,selected_ocr_053,text,273.05on*5699 800m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7492
OCR精选图头,selected_ocr_054,text,生产套管,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7992
OCR精选图头,selected_ocr_055,text,168.300mm*6796.130m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.9008
OCR精选图头,selected_ocr_056,text,7638.050-7639.400m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8694
OCR精选图头,selected_ocr_057,text,139.700mm*7868.000m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.9199
OCR精选图头,selected_ocr_058,text,水泥密度,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7938
OCR精选图头,selected_ocr_059,text,2.100g/cm2,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7856
OCR精选图头,selected_ocr_060,text,X:4888395.000,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.9063
OCR精选图头,selected_ocr_061,text,169.880t,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8242
OCR精选图头,selected_ocr_062,text,5402.850-7868.000m,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.875
OCR精选图头,selected_ocr_063,text,不合格,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7486
OCR精选图头,selected_ocr_064,text,Y:15477727.000,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.927
OCR精选图头,selected_ocr_065,text,目的井段固井质量,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7774
OCR精选图头,selected_ocr_066,text,不合格,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7473
OCR精选图头,selected_ocr_067,text,电测井深：7810.00m。5390.00-5699.80m为双层套管二界面不作评价。违反七条红线规定：测,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.9273
OCR精选图头,selected_ocr_068,text,技术说明,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7993
OCR精选图头,selected_ocr_069,text,量井段内水泥胶结质量合格率为62.77%，未达到应封固井段的70.00%,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8935
