well_id,date,time,event_type,description,depth_m,flow_rate_m3_min,pressure_mpa,weight_t,duration,data_type,source_file,confidence,notes
hu102,2022-11-19,21:30,憋通球座,憋通球座,7735,,17.7,,,measured,20211.doc,high,
hu102,2022-11-19,22:00,循环,循环,7735,1.1,17.5,,,measured,20211.doc,high,
hu102,2022-11-20,00:00,循环,循环,7735,1.1,19.5,,,measured,20211.doc,high,"排量1.1,压力升至19.5MPa"
hu102,2022-11-20,09:30,循环,循环(低排量),7735,0.55(30冲),8.6-9.9,,,measured,20211.doc,high,降低排量循环
hu102,2022-11-20,12:07,计量演练,循环+罐面计量演练,7735,0.9(50冲),16.1,,,measured,20211.doc,high,"正计量20方,反16方,差值4方:液面平稳不漏"
hu102,2022-11-20,15:41,循环压力上涨,循环压力上涨,7735,0.55(30冲),12.1-10.18,,,measured,20211.doc,high,出现明显压力上涨(憋堵征兆)
hu102,2022-11-20,18:15,计量演练,循环+罐面计量演练,7735,1(55冲),19.37-18.3,,,measured,20211.doc,high,"正计量42.5方,反36.5方,差值6方"
hu102,2022-11-20,18:45,停泵观察,"停泵观察出口断流,回留5方",7735,,,,30min,measured,20211.doc,high,
hu102,2022-11-20,18:50,倒扣丢手,"悬重210t处正转40r,丢手成功",6826.33,,,210-223,,measured,20211.doc,high,"实探喇叭口6826.33m,下压14t;自由行程1.2m"
hu102,2022-11-20,19:24,发现渗漏,循环时发现渗漏(0.5/10min),7735,1(55冲),18.5,,,measured,20211.doc,high,发现渗漏0.5方/10min
hu102,2022-11-21,03:30,循环,循环(稳定),7735,0.82(45冲),16.4-16.17,,,measured,20211.doc,high,稳定循环
hu102,2022-11-21,11:07,循环,施工前最后一次循环,7735,0.9(50冲),17.18,,,measured,20211.doc,high,施工前循环
hu102,2022-11-21,12:00,注前置液,注平衡液15m3,,0.3-0.6,,,43min,measured,20211.doc,high,密度1.90g/cm3
hu102,2022-11-21,14:00,异常-工具失效,"管内外联通,下部结构失效",,,4.2(套压),,,measured,20211.doc,high,"泵入平衡液后放回水不断流,下部结构单流阀失效"
hu102,2022-11-21,17:35,方案调整,"开会修改方案:尾管内全部替入2.10隔离液,不留上塞",,,,,,measured,20211.doc,high,
hu102,2022-11-21,17:56,注隔离液,注隔离液15m3,7735,0.6-0.8,13-15.7,,,measured,20211.doc,high,密度2.05g/cm3
hu102,2022-11-21,18:10,注领浆,注领浆10m3,7735,0.6-0.8,15.7,,15min,measured,20211.doc,high,密度2.10g/cm3
hu102,2022-11-21,18:25,注尾浆,注尾浆7m3,7735,0.6-0.8,15.5,,,measured,20211.doc,high,密度2.10g/cm3
hu102,2022-11-21,18:26,下胶塞,"停泵下胶塞,控压1.9MPa",,,1.9,,,measured,20211.doc,high,
hu102,2022-11-21,18:41,注压塞液,注压塞液7m3,7735,0.3-0.8,6-10-13,,9min,measured,20211.doc,high,密度2.10g/cm3
hu102,2022-11-21,18:50,注后置液,注保护液6m3,7735,0.6-0.8,13,,3min,measured,20211.doc,high,密度1.90g/cm3
hu102,2022-11-21,18:57,替浆开始,替浆(钻井液),,0.9,18.2,,,measured,20211.doc,high,密度2.02g/cm3
hu102,2022-11-21,19:30,平衡液进环空,"替浆30m3,平衡液进环空",,0.9,17.2-17,,,measured,20211.doc,high,
hu102,2022-11-21,19:44,隔离液进环空,"替浆44m3,隔离液进环空",,0.9,15.7,,,measured,20211.doc,high,
hu102,2022-11-21,20:02,领浆进环空,"替浆59m3,领浆进环空",,0.73,13.5,,,measured,20211.doc,high,
hu102,2022-11-21,20:13,胶塞重合,"胶塞重合,剩余6方停泵",,0.64,12.96,,,measured,20211.doc,high,"泵冲累计3610,胶塞重合"
hu102,2022-11-21,20:18,尾浆进环空,"替浆69m3,尾浆进环空",,0.64,13,,,measured,20211.doc,high,
hu102,2022-11-21,20:25,到量停泵,替浆72m3到量停泵,,0.46,9.9,,,measured,20211.doc,high,"泵冲累计3944,到量"
hu102,2022-11-21,20:45,关井,"停泵关井套压4.2MPa,倒反循环管线",,,4.2(套压),,15min,measured,20211.doc,high,
hu102,2022-11-21,21:00,拔中心管,控压4.2MPa上提7m拔出中心管,,,,220(悬重),,measured,20211.doc,high,
hu102,2022-11-22,00:30,循环排混浆,敞压循环排除混浆41方,,1.3,20,,,measured,20211.doc,high,见隔离液、水泥浆混浆
hu102,2022-11-22,11:00,控压循环,控压循环,,1.3,21.9,,,measured,20211.doc,high,控压2.2MPa
hu102,2022-11-24,21:00,关井候凝,加回压候凝5.8降至3.7MPa,,,,,,measured,20211.doc,high,候凝完成
hu102,2022-11-17~20,,异常-生产组织,"车辆核酸问题导致运灰/液车辆延后出车,大雪导致车辆误车",,,,,,measured,20211.doc,high,多辆车无连续3天核酸;5辆车信息有误;大雪地面泥泞
hu102,2022-11-20,,异常-憋堵漏失,"循环压力缓慢上涨,长时间循环导致憋堵加剧,发生漏失",,,,,,measured,20211.doc,high,产生吃入/回吐并存的呼吸效应
hu102,2022-11-21,14:00,异常-工具失效,"下部结构单流阀失效,放回水不断流",,,,,,measured,20211.doc,high,"导致方案临场调整:不留上塞,带水泥头起钻循环排混浆"
