well_id,fluid_type,property,value,unit,test_temp_c,test_pressure_mpa,data_type,source_file,confidence,notes
hu102,尾浆(水泥浆),配方,G+12%WG+75%磁铁矿粉+30%SiO2+3%SUP+8%ST900L+2%SXY-2+1.5%ST400S+2.4%ST300R+0.3%ST500L,,,,measured,20234.doc,high,ST300R减至2.4%
hu102,尾浆(水泥浆),稠化时间,255,min,126,150,measured,20234.doc,high,初始19Bc-终止70Bc
hu102,尾浆(水泥浆),phi300,163,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi200,128,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi100,106,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi6,10,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),phi3,6,,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),n,0.737,,,,measured,20234.doc,high,
hu102,尾浆(水泥浆),K,0.947,Pa.s^n,,,measured,20234.doc,high,
hu102,尾浆(水泥浆),API失水(30min),41,mL,126,6.9,measured,20234.doc,high,
hu102,尾浆(水泥浆),24h抗压强度,21.3,MPa,148,20.7,measured,20234.doc,high,
hu102,尾浆(水泥浆),游离液,0,%,93,,measured,20234.doc,high,
hu102,尾浆(水泥浆),温度高点稠化(132C),218,min,132,150,measured,20234.doc,high,
hu102,尾浆(水泥浆),密度高点稠化(2.23),227,min,126,150,measured,20234.doc,high,
hu102,尾浆(水泥浆),静胶凝发挥时间,260,min,,,measured,20234.doc,high,
hu102,混浆(7:1:2),稠化时间,>390,min,,,measured,20234.doc,high,"领浆:隔离液:先导浆=7:1:2, 未稠"
hu102,混浆(7:2:1),稠化时间,>390,min,,,measured,20234.doc,high,"领浆:隔离液:先导浆=7:2:1, 未稠"
hu102,混浆(1:1:1:1),稠化时间,>390,min,,,measured,20234.doc,high,"领浆:隔离液:先导浆:泥浆=1:1:1:1, 未稠"
hu102,前置液(平衡液),密度,1.90,g/cm3,,,measured,20211.doc,high,
hu102,隔离液,密度,2.05,g/cm3,,,measured,20211.doc,high,"逐时泵注记录两次均为2.05; 20216.doc记录表性能栏记2.10(塑粘30/滤失45)为汇总口径, 以逐时记录为准(2026-08-29裁定)"
hu102,后置液(保护液),密度,1.90,g/cm3,,,measured,20211.doc,high,
hu102,压塞液,密度,2.10,g/cm3,,,measured,20211.doc,high,
hu102,隔离液,塑性粘度PV,30,mPa.s,,,measured,20216.doc,high,施工记录表隔离液性能栏实测塑粘30(2026-08-29新增; 原loader用邻井代理0.035)
hu102,后置液(保护液),塑性粘度PV,30,mPa.s,,,measured,20216.doc,high,施工记录表后置液性能栏实测塑粘30(2026-08-29新增)
hu102,后置液(保护液),屈服值YP,8,Pa,,,measured,20216.doc,high,施工记录表后置液性能栏实测屈服值8(2026-08-29新增)
hu102,平衡液(前置液),phi600,102,,60,,measured,20213.doc,high,20213.doc s1.3不同温度流变表平衡液1.90@60C六速102/60/37/19/3/2(2026-08-29新增)
hu102,平衡液(前置液),phi300,60,,60,,measured,20213.doc,high,同上
hu102,平衡液(前置液),Bingham PV,42,mPa.s,,,derived,20213.doc,high,(phi600-phi300)=42mPa.s(2026-08-29推导)
hu102,平衡液(前置液),Bingham YP,18,Pa,,,derived,20213.doc,high,phi300-PV=18Pa(2026-08-29推导)
hu102,钻井液(油基),温度敏感性60C基准,142/82/58/34/5/4,六速,60,,measured,20213.doc,high,20213.doc s1.3: 40C=190/108/81/45/8/7; 50C=165/93/68/37/6/5; 60C=142/82/58/34/5/4; 70C=120/71/48/27/4/3; 80C=90/52/41/21/3/2(2026-08-29新增)
