well_id,step_index,stage_name,fluid_role,fluid_name,volume_m3,rate_m3_min,start_time_min,end_time_min,density_g_cm3,event_tag,data_type,source_description,confidence,notes
ht1_003,100,design_pump_lead_spacer_pre,wash,先导浆(设计),28,1.2,,,1.75,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,设计排量1.2m3/min泵压12.7-16.1MPa泥浆泵泵送
ht1_003,101,design_pump_spacer1,spacer,低失水驱油隔离液1(设计),16,1.2,,,2.05,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,设计排量1.2(实际1.0)
ht1_003,102,design_pump_spacer2,spacer,低失水驱油隔离液2(设计),10,1.2,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,设计排量1.2(实际1.0)
ht1_003,103,design_pump_lead,lead_cement,领浆(设计),39,1.2,,,2.05,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,设计排量1.2，40min，泵压17-15MPa
ht1_003,104,design_pump_tail,tail_cement,尾浆(设计),28,1.4,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,设计排量1.4-1.2，30min
ht1_003,105,design_disp1,displacement,压塞液(设计),2,1.0,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,排量1.0-1.4
ht1_003,106,design_disp2,displacement,钻井液(设计),25,1.6,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,固井计量罐
ht1_003,107,design_disp3,displacement,保护液(设计),14,1.4,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,批混车混配
ht1_003,108,design_disp4,displacement,钻井液(设计),8,1.2,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,
ht1_003,109,design_disp5,displacement,钻井液(设计),14,1.0,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,
ht1_003,110,design_disp6,displacement,钻井液(设计),16,0.8,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,
ht1_003,111,design_disp7,displacement,钻井液(设计),12.9,0.7,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,末段；理论顶替总量(含后置液)91.9m3
ht1_003,112,design_circulate,displacement,循环排混浆(设计),200,2.4,,,1.95,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.2,high,循环排混浆90min；碰压后加回压3.5-6.5MPa
